specimen	treatment	treatment_type	moment	dec_s	inc_s
I1512-2C	0.0	T	0.0153586	327.1	43.6
I1512-2C	100.0	T	0.0132007	335.3	38.7
I1512-2C	100.1	T	0.011768	335.7	29.6
I1512-2C	150.1	T	0.0097561	341.1	5.6
I1512-2C	150.0	T	0.009773400000000002	342.4	18.6
I1512-2C	200.0	T	0.0097058	347.9	22.0
I1512-2C	100.2	T	0.008620599999999999	349.6	7.4
I1512-2C	200.1	T	0.0086617	351.1	-5.3
I1512-2C	200.1	T	0.0084594	347.3	-2.0
I1512-2C	100.2	T	0.0083599	351.5	-10.4
I1512-2C	200.1	T	0.0085346	350.4	-14.0
I1512-2C	250.1	T	0.009581099999999999	0.9	-33.3
I1512-2C	250.0	T	0.0078442	358.2	-6.6
I1512-2C	300.0	T	0.0075918	3.5	9.4
I1512-2C	200.2	T	0.009553200000000001	4.8	-26.3
I1512-2C	300.1	T	0.0104734	4.6	46.5
I1512-2C	350.1	T	0.0221974	17.5	-74.2
I1512-2C	350.0	T	0.008764599999999999	12.3	-28.9
I1512-2C	400.0	T	0.0076792	13.0	-8.3
I1512-2C	300.2	T	0.013273	17.8	-55.0
I1512-2C	400.1	T	0.0276303	28.5	-77.2
I1512-2C	435.1	T	0.0319135	47.8	-74.2
I1512-2C	435.0	T	0.0112854	29.4	-50.3
I1512-2C	470.0	T	0.0088966	26.0	-30.0
I1512-2C	400.2	T	0.0269076	24.6	-74.7
I1512-2C	470.1	T	0.0342069	57.6	-73.4
I1512-2C	505.1	T	0.0475676	67.4	-79.5
I1512-2C	505.0	T	0.0143865	34.5	-64.4
I1512-2C	520.0	T	0.0113553	28.4	-56.7
I1512-2C	470.2	T	0.0354159	52.2	-72.4
I1512-2C	520.1	T	0.050052	76.3	-81.5
I1512-2C	535.1	T	0.061016100000000004	72.9	-82.1
I1512-2C	535.0	T	0.0164103	37.0	-66.8
I1512-2C	550.0	T	0.008262499999999999	41.7	-65.8
I1512-2C	520.2	T	0.0501359	60.6	-83.3
I1512-2C	550.1	T	0.108863	96.7	-82.8
I1512-2C	555.1	T	0.16423500000000002	129.6	-83.5
I1512-2C	555.0	T	0.0082919	35.4	-73.8
I1512-2C	560.0	T	0.006556600000000001	58.2	-75.1
