specimen	treatment	treatment_type	moment	dec_s	inc_s
I1510-6B	0.0	T	0.0119085	333.4	-34.3
I1510-6B	100.0	T	0.0125819	338.0	-31.4
I1510-6B	100.1	T	0.0162897	342.6	-47.3
I1510-6B	150.1	T	0.023049499999999997	338.1	-59.8
I1510-6B	150.0	T	0.0170135	343.5	-46.3
I1510-6B	200.0	T	0.0127063	348.2	-31.7
I1510-6B	100.2	T	0.0182818	351.3	-49.1
I1510-6B	200.1	T	0.022978000000000002	345.9	-60.3
I1510-6B	200.1	T	0.020008400000000003	349.4	-54.0
I1510-6B	100.2	T	0.0231961	344.2	-57.8
I1510-6B	200.1	T	0.0235745	345.7	-58.8
I1510-6B	250.1	T	0.0289256	351.3	-60.9
I1510-6B	250.0	T	0.0179594	354.4	-50.7
I1510-6B	300.0	T	0.0140762	354.5	-35.2
I1510-6B	200.2	T	0.0248344	348.1	-57.6
I1510-6B	300.1	T	0.0294373	349.7	-62.1
I1510-6B	350.1	T	0.050973199999999996	347.1	-74.1
I1510-6B	350.0	T	0.021653400000000003	351.6	-60.4
I1510-6B	400.0	T	0.014273600000000001	349.3	-42.3
I1510-6B	300.2	T	0.0342784	348.6	-70.8
I1510-6B	400.1	T	0.0621869	351.7	-78.8
I1510-6B	435.1	T	0.0674744	341.2	-81.7
I1510-6B	435.0	T	0.021930599999999998	356.9	-60.7
I1510-6B	470.0	T	0.0153437	352.8	-52.1
I1510-6B	400.2	T	0.0523529	347.2	-84.5
I1510-6B	470.1	T	0.06757250000000001	11.0	-77.2
I1510-6B	505.1	T	0.09226569999999999	343.9	-83.7
I1510-6B	505.0	T	0.0250887	348.2	-65.6
I1510-6B	520.0	T	0.018759599999999998	344.9	-62.6
I1510-6B	470.2	T	0.06627889999999999	344.7	-80.4
I1510-6B	520.1	T	0.0925792	15.1	-83.2
I1510-6B	535.1	T	0.102615	355.0	-83.2
I1510-6B	535.0	T	0.0305682	353.6	-74.7
I1510-6B	550.0	T	0.0106307	14.7	-64.5
I1510-6B	520.2	T	0.0829088	333.9	-84.3
I1510-6B	550.1	T	0.232466	355.7	-87.2
I1510-6B	555.1	T	0.33907400000000004	260.9	-88.0
I1510-6B	555.0	T	0.0085305	24.3	-81.6
I1510-6B	560.0	T	0.0073637	343.8	-75.8
