specimen	treatment	treatment_type	moment	dec_s	inc_s
I527-9C	0.0	T	0.11947	170.5	38.5
I527-9C	100.0	T	0.116023	167.4	30.3
I527-9C	100.1	T	0.11314700000000001	170.1	28.6
I527-9C	150.1	T	0.107604	166.7	23.6
I527-9C	150.0	T	0.10947799999999999	167.1	25.5
I527-9C	200.0	T	0.10549599999999999	165.9	26.7
I527-9C	100.2	T	0.100092	167.3	22.1
I527-9C	200.1	T	0.0969584	163.7	19.6
I527-9C	200.1	T	0.0969786	164.3	22.7
I527-9C	100.2	T	0.0952347	164.2	19.1
I527-9C	200.1	T	0.0933136	164.1	20.6
I527-9C	250.1	T	0.0761061	161.7	12.1
I527-9C	250.0	T	0.08251770000000001	159.6	21.2
I527-9C	300.0	T	0.07228709999999999	154.4	26.4
I527-9C	200.2	T	0.0624995	149.8	14.2
I527-9C	300.1	T	0.06152320000000001	152.0	5.8
I527-9C	350.1	T	0.127398	148.6	-66.7
I527-9C	350.0	T	0.0519092	147.7	4.6
I527-9C	400.0	T	0.046740000000000004	141.6	21.5
I527-9C	300.2	T	0.0429046	143.5	-17.2
I527-9C	400.1	T	0.118632	145.9	-77.2
I527-9C	435.1	T	0.114651	130.2	-77.9
I527-9C	435.0	T	0.0305174	129.8	-10.7
I527-9C	470.0	T	0.0275085	115.3	16.5
I527-9C	400.2	T	0.10702500000000001	130.1	-80.0
I527-9C	470.1	T	0.10176900000000001	104.1	-80.7
I527-9C	505.1	T	0.11495999999999999	73.5	-82.1
I527-9C	505.0	T	0.024604900000000002	80.9	-28.3
I527-9C	520.0	T	0.0219519	72.9	-5.3
I527-9C	470.2	T	0.103124	52.6	-82.3
I527-9C	520.1	T	0.12956700000000002	47.2	-82.0
I527-9C	535.1	T	0.178499	45.3	-86.8
I527-9C	535.0	T	0.0271267	65.3	-46.6
I527-9C	550.0	T	0.0149042	52.4	-5.2
I527-9C	520.2	T	0.166226	20.6	-85.4
I527-9C	550.1	T	0.280727	13.5	-88.6
I527-9C	555.1	T	0.307685	17.5	-87.3
I527-9C	555.0	T	0.0126261	48.3	-3.3
I527-9C	560.0	T	0.0087072	46.6	3.1
