specimen	treatment	treatment_type	moment	dec_s	inc_s
I1530-3C	0.0	T	0.0201953	326.6	16.1
I1530-3C	100.0	T	0.0191708	305.5	15.2
I1530-3C	100.1	T	0.019014700000000002	307.4	-0.1
I1530-3C	150.1	T	0.0188484	300.9	-13.9
I1530-3C	150.0	T	0.017554900000000002	304.0	0.5
I1530-3C	200.0	T	0.015856	307.2	3.3
I1530-3C	100.2	T	0.016758500000000003	306.2	-11.4
I1530-3C	200.1	T	0.0174287	306.2	-20.6
I1530-3C	200.1	T	0.0168273	306.8	-18.5
I1530-3C	100.2	T	0.0176153	305.2	-20.9
I1530-3C	200.1	T	0.0177005	307.8	-22.8
I1530-3C	250.1	T	0.018028	312.5	-24.1
I1530-3C	250.0	T	0.0149071	308.1	-10.8
I1530-3C	300.0	T	0.0139185	307.4	-7.8
I1530-3C	200.2	T	0.016677800000000003	307.6	-31.5
I1530-3C	300.1	T	0.018026900000000002	313.3	-35.3
I1530-3C	350.1	T	0.0253451	309.4	-53.5
I1530-3C	350.0	T	0.0144035	309.4	-24.9
I1530-3C	400.0	T	0.012541499999999999	309.6	-11.7
I1530-3C	300.2	T	0.0200512	317.7	-50.6
I1530-3C	400.1	T	0.0294713	318.0	-63.6
I1530-3C	435.1	T	0.0338156	328.9	-65.7
I1530-3C	435.0	T	0.0137042	317.6	-31.9
I1530-3C	470.0	T	0.0121508	314.2	-22.8
I1530-3C	400.2	T	0.027813900000000003	324.2	-59.0
I1530-3C	470.1	T	0.0338568	324.1	-70.4
I1530-3C	505.1	T	0.0480089	325.1	-81.3
I1530-3C	505.0	T	0.013511100000000002	319.4	-42.4
I1530-3C	520.0	T	0.0119101	312.0	-33.8
I1530-3C	470.2	T	0.0354108	323.8	-78.7
I1530-3C	520.1	T	0.0535645	345.6	-77.4
I1530-3C	535.1	T	0.0671171	355.1	-76.3
I1530-3C	535.0	T	0.0144665	318.9	-53.2
I1530-3C	550.0	T	0.0091325	326.2	-51.1
I1530-3C	520.2	T	0.0571069	299.2	-79.6
I1530-3C	550.1	T	0.11897	77.6	-88.2
I1530-3C	555.1	T	0.145261	273.5	-84.9
I1530-3C	555.0	T	0.010358800000000001	328.2	-68.8
I1530-3C	560.0	T	0.0085479	320.8	-66.3
