specimen	treatment	treatment_type	moment	dec_s	inc_s
I531-6B	0.0	T	0.25714600000000004	173.5	-41.1
I531-6B	100.0	T	0.25476	176.1	-41.0
I531-6B	100.1	T	0.255156	177.6	-41.2
I531-6B	150.1	T	0.243427	171.6	-43.1
I531-6B	150.0	T	0.24158600000000002	171.8	-43.0
I531-6B	200.0	T	0.220683	167.3	-43.8
I531-6B	100.2	T	0.221682	168.7	-44.1
I531-6B	200.1	T	0.221152	167.8	-44.6
I531-6B	200.1	T	0.221981	167.7	-43.3
I531-6B	200.1	T	0.220731	167.4	-45.6
I531-6B	100.2	T	0.221871	168.3	-43.9
I531-6B	200.1	T	0.221506	164.7	-44.8
I531-6B	250.1	T	0.204599	161.1	-48.2
I531-6B	250.0	T	0.196643	159.1	-46.1
I531-6B	300.0	T	0.169382	152.5	-47.9
I531-6B	200.2	T	0.171843	149.3	-49.8
I531-6B	300.1	T	0.173849	150.4	-51.6
I531-6B	350.1	T	0.250849	139.6	-67.5
I531-6B	350.0	T	0.15765	139.5	-52.8
I531-6B	400.0	T	0.13931000000000002	133.2	-51.3
I531-6B	300.2	T	0.15185200000000001	130.0	-55.2
I531-6B	400.1	T	0.22023900000000002	129.9	-68.1
I531-6B	435.1	T	0.215985	121.3	-68.7
I531-6B	435.0	T	0.138005	117.1	-55.8
I531-6B	470.0	T	0.121875	112.5	-51.9
I531-6B	400.2	T	0.18954	117.6	-68.1
I531-6B	470.1	T	0.195916	109.9	-70.4
I531-6B	505.1	T	0.215764	107.6	-71.7
I531-6B	505.0	T	0.127477	103.3	-58.1
I531-6B	520.0	T	0.11164600000000001	98.4	-54.5
I531-6B	470.2	T	0.183191	97.6	-70.0
I531-6B	520.1	T	0.225588	96.0	-73.7
I531-6B	535.1	T	0.35467200000000004	82.2	-81.5
I531-6B	535.0	T	0.100574	95.0	-60.2
I531-6B	550.0	T	0.0253244	103.6	-53.6
I531-6B	520.2	T	0.259405	117.8	-86.2
I531-6B	550.1	T	0.868444	18.6	-87.9
I531-6B	555.1	T	0.893203	348.0	-88.3
I531-6B	555.0	T	0.0207465	101.0	-65.4
I531-6B	560.0	T	0.0058939000000000005	155.8	-62.7
