specimen	treatment	treatment_type	moment	dec_s	inc_s
I914-8B	0.0	T	0.0125161	319.4	31.1
I914-8B	100.0	T	0.0110042	323.1	19.4
I914-8B	100.1	T	0.0106014	319.8	16.3
I914-8B	150.1	T	0.009544	321.4	-2.8
I914-8B	150.0	T	0.0094269	318.3	-0.7
I914-8B	200.0	T	0.0104162	319.9	-30.4
I914-8B	100.2	T	0.010362	319.0	-32.1
I914-8B	200.1	T	0.010759900000000001	319.1	-36.4
I914-8B	200.1	T	0.011223100000000001	320.6	-40.1
I914-8B	100.2	T	0.0113659	318.6	-39.3
I914-8B	200.1	T	0.0117729	318.7	-43.3
I914-8B	250.1	T	0.0182453	320.1	-62.3
I914-8B	250.0	T	0.0198203	317.8	-64.6
I914-8B	300.0	T	0.0298083	318.8	-73.1
I914-8B	200.2	T	0.030087700000000002	322.8	-74.1
I914-8B	300.1	T	0.034018099999999996	320.8	-75.3
I914-8B	350.1	T	0.0222498	323.2	-64.5
I914-8B	350.0	T	0.0206451	323.4	-63.6
I914-8B	400.0	T	0.0256771	325.8	-69.2
I914-8B	300.2	T	0.02657	323.9	-70.1
I914-8B	400.1	T	0.0308135	323.0	-73.3
I914-8B	435.1	T	0.0349589	324.7	-75.9
I914-8B	435.0	T	0.0329603	325.2	-76.4
I914-8B	470.0	T	0.03429	320.8	-76.6
I914-8B	400.2	T	0.039409	325.7	-79.6
I914-8B	470.1	T	0.0410833	324.3	-79.6
I914-8B	505.1	T	0.042572200000000004	322.2	-82.5
I914-8B	505.0	T	0.0365861	318.4	-82.3
I914-8B	520.0	T	0.034612699999999996	301.4	-83.6
I914-8B	470.2	T	0.0402543	293.5	-84.2
I914-8B	520.1	T	0.0475926	317.1	-84.3
I914-8B	535.1	T	0.0503122	325.2	-87.1
I914-8B	535.0	T	0.0315858	294.6	-85.5
I914-8B	550.0	T	0.0194062	307.6	-84.4
I914-8B	520.2	T	0.041188	286.9	-85.3
I914-8B	550.1	T	0.0586244	333.8	-86.7
I914-8B	555.1	T	0.06438429999999999	314.4	-88.1
I914-8B	555.0	T	0.011952500000000001	296.4	-84.0
I914-8B	560.0	T	0.011593000000000001	285.7	-84.5
