specimen	treatment	treatment_type	moment	dec_s	inc_s
I531-5C	0.0	T	0.117235	253.4	-39.3
I531-5C	100.0	T	0.116354	256.0	-39.5
I531-5C	100.1	T	0.116612	253.1	-39.3
I531-5C	150.1	T	0.112678	251.9	-41.3
I531-5C	150.0	T	0.111687	251.9	-40.9
I531-5C	200.0	T	0.10323	248.0	-42.6
I531-5C	100.2	T	0.103786	248.8	-42.8
I531-5C	200.1	T	0.103559	248.5	-43.0
I531-5C	200.1	T	0.105754	243.9	-45.2
I531-5C	200.1	T	0.104223	242.4	-44.4
I531-5C	100.2	T	0.104143	243.2	-44.4
I531-5C	200.1	T	0.105682	243.8	-46.7
I531-5C	250.1	T	0.0985625	244.0	-48.4
I531-5C	250.0	T	0.0940936	239.4	-47.6
I531-5C	300.0	T	0.08218460000000001	235.3	-52.3
I531-5C	200.2	T	0.08412649999999999	236.2	-52.9
I531-5C	300.1	T	0.08506760000000001	234.7	-55.3
I531-5C	350.1	T	0.13806800000000002	228.8	-71.6
I531-5C	350.0	T	0.0770642	223.4	-57.0
I531-5C	400.0	T	0.06965890000000001	217.3	-58.5
I531-5C	300.2	T	0.07689530000000001	216.1	-62.2
I531-5C	400.1	T	0.122204	218.2	-74.0
I531-5C	435.1	T	0.119012	218.1	-73.4
I531-5C	435.0	T	0.0689259	207.0	-63.3
I531-5C	470.0	T	0.060831	199.6	-63.0
I531-5C	400.2	T	0.109712	205.8	-75.0
I531-5C	470.1	T	0.110452	203.4	-76.1
I531-5C	505.1	T	0.120103	194.8	-76.5
I531-5C	505.0	T	0.0660157	183.7	-66.0
I531-5C	520.0	T	0.0568484	180.8	-64.3
I531-5C	470.2	T	0.10436400000000001	182.1	-77.2
I531-5C	520.1	T	0.130506	185.4	-79.6
I531-5C	535.1	T	0.20597100000000002	194.0	-84.2
I531-5C	535.0	T	0.0513262	176.9	-70.3
I531-5C	550.0	T	0.01185	177.8	-68.9
I531-5C	520.2	T	0.142899	212.8	-84.9
I531-5C	550.1	T	0.480289	225.5	-86.3
I531-5C	555.1	T	0.49927	282.0	-87.2
I531-5C	555.0	T	0.0084926	167.6	-77.7
I531-5C	560.0	T	0.0021997	156.5	-79.9
