specimen	treatment	treatment_type	moment	dec_s	inc_s
I527-4C	0.0	T	0.0947534	158.3	13.3
I527-4C	100.0	T	0.10149899999999999	155.9	9.4
I527-4C	100.1	T	0.101816	158.9	3.6
I527-4C	150.1	T	0.107746	154.2	-4.4
I527-4C	150.0	T	0.10697	156.4	0.3
I527-4C	200.0	T	0.111727	155.6	1.6
I527-4C	100.2	T	0.112398	157.0	-4.3
I527-4C	200.1	T	0.11472700000000001	157.2	-6.5
I527-4C	200.1	T	0.113613	153.4	-3.5
I527-4C	100.2	T	0.11476900000000001	152.5	-5.1
I527-4C	200.1	T	0.114661	152.4	-5.2
I527-4C	250.1	T	0.117961	154.2	-10.7
I527-4C	250.0	T	0.118578	152.4	-4.7
I527-4C	300.0	T	0.11854	153.0	-3.1
I527-4C	300.0	T	0.11854	153.0	-3.1
I527-4C	200.2	T	0.119823	152.6	-10.4
I527-4C	300.1	T	0.124511	151.5	-13.8
I527-4C	350.1	T	0.14487	149.1	-28.5
I527-4C	350.0	T	0.126661	148.2	-9.0
I527-4C	400.0	T	0.123564	150.7	-6.2
I527-4C	300.2	T	0.133108	150.9	-17.4
I527-4C	400.1	T	0.148877	150.0	-31.0
I527-4C	435.1	T	0.15021	151.0	-31.0
I527-4C	435.0	T	0.126223	151.7	-10.4
I527-4C	470.0	T	0.12346700000000001	149.6	-9.5
I527-4C	400.2	T	0.152027	151.8	-28.7
I527-4C	470.1	T	0.149091	150.6	-33.5
I527-4C	505.1	T	0.16282300000000002	150.3	-37.4
I527-4C	505.0	T	0.123704	148.6	-11.4
I527-4C	520.0	T	0.117578	147.2	-11.0
I527-4C	470.2	T	0.149278	149.5	-35.0
I527-4C	520.1	T	0.169868	148.0	-42.0
I527-4C	535.1	T	0.18862600000000002	145.4	-52.5
I527-4C	535.0	T	0.107292	151.7	-17.5
I527-4C	550.0	T	0.060477800000000005	145.9	-15.4
I527-4C	520.2	T	0.154506	159.6	-67.4
I527-4C	550.1	T	0.299238	154.0	-75.8
I527-4C	555.1	T	0.343709	132.8	-75.9
I527-4C	555.0	T	0.0460184	148.8	-24.9
I527-4C	560.0	T	0.035938200000000003	151.3	-17.0
