specimen	treatment	treatment_type	moment	dec_s	inc_s
I527-8C	0.0	T	0.119639	136.0	63.1
I527-8C	100.0	T	0.112815	127.0	56.2
I527-8C	100.1	T	0.10690300000000001	127.6	55.8
I527-8C	150.1	T	0.0967986	126.9	50.9
I527-8C	150.0	T	0.102498	128.7	53.5
I527-8C	200.0	T	0.103076	127.3	53.5
I527-8C	100.2	T	0.09286130000000001	123.3	50.4
I527-8C	200.1	T	0.08864050000000001	128.7	48.1
I527-8C	200.1	T	0.09166110000000001	120.1	52.5
I527-8C	100.2	T	0.0865251	121.3	48.2
I527-8C	200.1	T	0.08548120000000001	116.2	47.4
I527-8C	250.1	T	0.0713531	110.9	41.4
I527-8C	250.0	T	0.0838834	113.0	48.5
I527-8C	300.0	T	0.0799987	103.8	51.5
I527-8C	200.2	T	0.0651532	100.5	42.4
I527-8C	300.1	T	0.056895600000000005	106.3	35.0
I527-8C	350.1	T	0.0683549	99.3	-56.2
I527-8C	350.0	T	0.0510448	92.9	41.6
I527-8C	400.0	T	0.0540508	80.6	50.2
I527-8C	300.2	T	0.0318764	77.3	10.3
I527-8C	400.1	T	0.0738303	69.4	-68.3
I527-8C	435.1	T	0.07949769999999999	65.4	-70.1
I527-8C	435.0	T	0.0351476	54.4	28.9
I527-8C	470.0	T	0.039806	39.6	40.1
I527-8C	400.2	T	0.0735803	23.5	-76.6
I527-8C	470.1	T	0.07996349999999999	13.4	-74.3
I527-8C	505.1	T	0.111574	353.2	-77.4
I527-8C	505.0	T	0.035685299999999996	8.9	-7.6
I527-8C	520.0	T	0.0364689	2.6	7.0
I527-8C	470.2	T	0.098189	2.1	-69.5
I527-8C	520.1	T	0.137717	4.9	-73.9
I527-8C	535.1	T	0.19953600000000002	15.2	-79.5
I527-8C	535.0	T	0.037820700000000006	8.1	-31.5
I527-8C	550.0	T	0.0221501	4.9	-8.3
I527-8C	520.2	T	0.171224	353.8	-83.6
I527-8C	550.1	T	0.300174	96.0	-86.7
I527-8C	555.1	T	0.335993	63.2	-88.4
I527-8C	555.0	T	0.0204684	356.3	-24.1
I527-8C	560.0	T	0.013623699999999999	353.3	-3.8
