specimen	treatment	treatment_type	moment	dec_s	inc_s
I531-4B	0.0	T	0.200765	16.3	-7.2
I531-4B	100.0	T	0.197964	19.7	-7.4
I531-4B	100.1	T	0.198055	15.3	-7.4
I531-4B	150.1	T	0.190702	13.9	-9.9
I531-4B	150.0	T	0.190062	12.5	-8.2
I531-4B	200.0	T	0.178038	12.4	-9.4
I531-4B	100.2	T	0.178314	10.0	-9.0
I531-4B	200.1	T	0.176644	10.6	-10.9
I531-4B	200.1	T	0.17716300000000001	9.7	-12.2
I531-4B	100.2	T	0.17728100000000002	9.4	-10.6
I531-4B	200.1	T	0.175923	10.8	-12.3
I531-4B	250.1	T	0.163193	9.5	-13.9
I531-4B	250.0	T	0.158772	5.4	-12.5
I531-4B	300.0	T	0.142821	2.4	-12.6
I531-4B	200.2	T	0.143499	358.4	-14.1
I531-4B	300.1	T	0.141785	358.5	-16.1
I531-4B	350.1	T	0.160822	354.3	-39.5
I531-4B	350.0	T	0.12969999999999998	352.0	-17.9
I531-4B	400.0	T	0.11976200000000001	344.7	-17.1
I531-4B	300.2	T	0.122261	344.0	-22.2
I531-4B	400.1	T	0.14702	342.0	-40.0
I531-4B	435.1	T	0.145967	337.7	-43.8
I531-4B	435.0	T	0.112833	336.9	-26.2
I531-4B	470.0	T	0.103851	335.5	-23.4
I531-4B	400.2	T	0.132975	329.8	-43.3
I531-4B	470.1	T	0.137399	329.3	-46.5
I531-4B	505.1	T	0.151793	326.5	-54.4
I531-4B	505.0	T	0.10235200000000001	323.8	-34.2
I531-4B	520.0	T	0.0926972	321.0	-29.2
I531-4B	520.0	T	0.056620399999999994	181.0	-63.9
I531-4B	470.2	T	0.128849	320.2	-52.2
I531-4B	520.1	T	0.158116	317.5	-61.4
I531-4B	535.1	T	0.232744	315.4	-71.4
I531-4B	535.0	T	0.08715389999999999	319.9	-42.6
I531-4B	550.0	T	0.0292315	321.0	-31.0
I531-4B	520.2	T	0.18191200000000002	322.5	-81.6
I531-4B	550.1	T	0.656733	254.6	-85.1
I531-4B	555.1	T	0.688757	247.5	-85.5
I531-4B	555.0	T	0.021407	320.1	-46.3
I531-4B	560.0	T	0.0033056	317.4	-45.2
