specimen	treatment	treatment_type	moment	dec_s	inc_s
I527-6C	0.0	T	0.135519	158.8	-28.2
I527-6C	100.0	T	0.14234200000000002	162.1	-32.5
I527-6C	100.1	T	0.14560900000000002	162.1	-34.8
I527-6C	150.1	T	0.15167599999999998	160.8	-38.4
I527-6C	150.0	T	0.146881	159.5	-37.9
I527-6C	200.0	T	0.145345	160.6	-36.2
I527-6C	100.2	T	0.15032800000000002	161.0	-38.9
I527-6C	200.1	T	0.15407400000000002	163.6	-40.4
I527-6C	200.1	T	0.151084	161.0	-38.8
I527-6C	200.1	T	0.151084	160.9	-38.8
I527-6C	100.2	T	0.154303	160.1	-41.8
I527-6C	200.1	T	0.155248	161.1	-40.9
I527-6C	250.1	T	0.157859	158.7	-43.4
I527-6C	250.0	T	0.151791	161.6	-39.4
I527-6C	300.0	T	0.14878899999999998	163.0	-39.1
I527-6C	200.2	T	0.15750299999999998	161.2	-44.4
I527-6C	300.1	T	0.160904	163.6	-44.6
I527-6C	350.1	T	0.17369700000000002	160.7	-49.6
I527-6C	350.0	T	0.15558600000000003	162.5	-42.8
I527-6C	400.0	T	0.150772	161.1	-41.8
I527-6C	300.2	T	0.167102	163.1	-47.3
I527-6C	400.1	T	0.18096700000000002	166.7	-50.8
I527-6C	435.1	T	0.185534	165.1	-53.7
I527-6C	435.0	T	0.155372	164.2	-44.1
I527-6C	470.0	T	0.148352	163.7	-42.6
I527-6C	400.2	T	0.18011000000000002	162.7	-50.3
I527-6C	470.1	T	0.183992	163.4	-52.8
I527-6C	505.1	T	0.20007400000000003	164.3	-56.4
I527-6C	505.0	T	0.148735	164.6	-46.1
I527-6C	520.0	T	0.13928700000000002	164.1	-43.9
I527-6C	470.2	T	0.18666	159.2	-58.1
I527-6C	520.1	T	0.214482	161.2	-61.5
I527-6C	535.1	T	0.24183600000000002	163.9	-67.3
I527-6C	535.0	T	0.129889	164.4	-48.0
I527-6C	550.0	T	0.0796478	165.9	-46.8
I527-6C	520.2	T	0.199683	165.9	-73.9
I527-6C	550.1	T	0.37658400000000003	162.6	-81.6
I527-6C	550.1	T	0.37658400000000003	162.6	-81.6
I527-6C	555.1	T	0.403406	151.8	-82.5
I527-6C	555.0	T	0.0637733	160.4	-51.6
I527-6C	560.0	T	0.0470406	160.2	-48.9
