specimen	treatment	treatment_type	moment	dec_s	inc_s
I92-5B	0.0	T	0.032453	260.0	73.0
I92-5B	100.0	T	0.0304997	256.5	73.6
I92-5B	100.1	T	0.0281653	256.0	72.5
I92-5B	150.1	T	0.0159858	250.1	65.2
I92-5B	150.0	T	0.0212623	242.3	72.1
I92-5B	200.0	T	0.0217774	229.2	68.8
I92-5B	100.2	T	0.0193639	240.7	71.8
I92-5B	200.1	T	0.0132012	238.4	62.6
I92-5B	200.1	T	0.0148867	247.2	65.6
I92-5B	100.2	T	0.0140497	241.6	64.6
I92-5B	200.1	T	0.0122118	246.5	60.9
I92-5B	250.1	T	0.0059481000000000004	252.2	-19.2
I92-5B	250.0	T	0.0092374	245.5	56.8
I92-5B	300.0	T	0.0070435	265.9	67.8
I92-5B	200.2	T	0.004326399999999999	261.5	48.5
I92-5B	300.1	T	0.0069813	265.9	-68.8
I92-5B	350.1	T	0.0115217	269.2	-77.0
I92-5B	350.0	T	0.0062809	253.9	-71.8
I92-5B	400.0	T	0.0041563	252.4	-66.8
I92-5B	300.2	T	0.0060296	255.0	-74.4
I92-5B	400.1	T	0.0107412	252.5	-81.8
I92-5B	435.1	T	0.0134693	245.8	-82.8
I92-5B	435.0	T	0.0060033000000000005	253.9	-77.2
I92-5B	470.0	T	0.0044546	253.9	-73.9
I92-5B	400.2	T	0.0083891	250.7	-81.7
I92-5B	470.1	T	0.0137067	250.0	-82.5
I92-5B	505.1	T	0.0210552	258.5	-83.4
I92-5B	505.0	T	0.007781100000000001	257.0	-81.6
I92-5B	520.0	T	0.0062676	244.4	-80.2
I92-5B	470.2	T	0.014567	247.2	-85.0
I92-5B	520.1	T	0.023246	174.6	-88.4
I92-5B	535.1	T	0.035149700000000006	260.6	-85.1
I92-5B	535.0	T	0.0097364	255.9	-84.1
I92-5B	550.0	T	0.0033096	272.7	-85.1
I92-5B	520.2	T	0.0314689	273.9	-85.1
I92-5B	550.1	T	0.0936542	91.2	-88.0
I92-5B	555.1	T	0.144033	171.9	-84.7
I92-5B	555.0	T	0.0069968	92.7	-89.5
I92-5B	560.0	T	0.0061442	280.1	-89.0
