specimen	treatment	treatment_type	moment	dec_s	inc_s
I527-10C	0.0	T	0.0978226	75.7	57.8
I527-10C	100.0	T	0.09331590000000001	76.3	51.2
I527-10C	100.1	T	0.08681359999999999	75.0	47.1
I527-10C	150.1	T	0.07764700000000001	74.4	37.9
I527-10C	150.0	T	0.0849781	72.7	43.0
I527-10C	200.0	T	0.0880365	65.7	43.3
I527-10C	100.2	T	0.0776446	66.7	35.8
I527-10C	200.1	T	0.073563	68.1	32.1
I527-10C	200.1	T	0.07773290000000001	63.5	36.9
I527-10C	100.2	T	0.0726002	61.6	28.9
I527-10C	200.1	T	0.0721588	60.8	27.6
I527-10C	250.1	T	0.0674449	52.5	12.2
I527-10C	250.0	T	0.0722743	51.2	30.4
I527-10C	300.0	T	0.0743968	44.8	33.4
I527-10C	200.2	T	0.0649926	39.1	14.6
I527-10C	300.1	T	0.0629077	43.2	5.9
I527-10C	350.1	T	0.128214	33.1	-64.8
I527-10C	350.0	T	0.059547600000000006	26.1	1.9
I527-10C	400.0	T	0.0675611	16.8	18.8
I527-10C	300.2	T	0.0653532	17.2	-24.3
I527-10C	400.1	T	0.13500600000000001	4.1	-64.9
I527-10C	435.1	T	0.139063	4.8	-64.5
I527-10C	435.0	T	0.0696293	5.8	-9.3
I527-10C	470.0	T	0.0734396	358.7	5.0
I527-10C	400.2	T	0.133981	351.5	-60.1
I527-10C	470.1	T	0.135933	347.9	-61.3
I527-10C	505.1	T	0.169732	348.2	-65.4
I527-10C	505.0	T	0.0835111	347.7	-18.9
I527-10C	520.0	T	0.08136159999999999	345.4	-7.9
I527-10C	470.2	T	0.141922	340.4	-55.6
I527-10C	520.1	T	0.191601	343.0	-65.7
I527-10C	535.1	T	0.215629	341.4	-72.4
I527-10C	535.0	T	0.0795226	342.1	-25.4
I527-10C	550.0	T	0.0427753	347.2	-22.4
I527-10C	520.2	T	0.209543	329.9	-80.2
I527-10C	550.1	T	0.326741	326.1	-86.2
I527-10C	555.1	T	0.35239800000000004	321.0	-83.6
I527-10C	555.0	T	0.0431071	340.3	-38.6
I527-10C	560.0	T	0.026234200000000003	338.2	-11.2
